Protein	Label	adj.pvalue	accession	interesting	Annotation	Species	BiologicalProcess	GOTerms
CHOYP_LOC100150876.1.1|m.61100	EelgrassFB-EelgrassSK	0.001227546	sp|Q96NN9|AIFM3_HUMAN	x	Apoptosis-inducing factor 3 (EC 1.-.-.-) (Apoptosis-inducing factor-like protein)	Homo sapiens (Human)	cell redox homeostasis [GO:0045454]; execution phase of apoptosis [GO:0097194]	GO:0005739; GO:0005743; GO:0005783; GO:0016491; GO:0045454; GO:0046872; GO:0050660; GO:0051537; GO:0097194
CHOYP_LOC576041.1.1|m.28220	BareCI-BareFB	0.003435793	sp|Q92051|CAHZ_DANRE	x	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	Danio rerio (Zebrafish) (Brachydanio rerio)	carbon dioxide transport [GO:0015670]; hypotonic salinity response [GO:0042539]; one-carbon metabolic process [GO:0006730]	GO:0004089; GO:0006730; GO:0008270; GO:0015670; GO:0042539
CHOYP_BRAFLDRAFT_119799.1.1|m.23765	BareFB-BareSK	0.005291969	sp|P30044|PRDX5_HUMAN	x	Peroxiredoxin-5			
CHOYP_BRAFLDRAFT_91636.1.11|m.28449	BareCI-BareSK	0.006983249	sp|Q53G44|IF44L_HUMAN	x	Interferon-induced protein 44-like	Homo sapiens (Human)	defense response to virus [GO:0051607]	GO:0005525; GO:0005654; GO:0005737; GO:0051607
CHOYP_MRP1.5.10|m.34368	BareFB-BareSK	0.01092948	sp|Q8CG09|MRP1_RAT	x	Multidrug resistance-associated protein 1 (ATP-binding cassette sub-family C member 1) (Leukotriene C(4) transporter) (LTC4 transporter)	Rattus norvegicus (Rat)	cell chemotaxis [GO:0060326]; daunorubicin transport [GO:0043215]; drug export [GO:0046618]; drug transmembrane transport [GO:0006855]; glutathione transmembrane transport [GO:0034775]; negative regulation of neuron death [GO:1901215]; phospholipid efflux [GO:0033700]; plasma membrane long-chain fatty acid transport [GO:0015911]; positive regulation of cell migration [GO:0030335]; response to drug [GO:0042493]; response to oxidative stress [GO:0006979]; transmembrane transport [GO:0055085]; xenobiotic transport [GO:0042908]	GO:0005324; GO:0005524; GO:0005737; GO:0005886; GO:0005887; GO:0006855; GO:0006979; GO:0008559; GO:0015238; GO:0015431; GO:0015562; GO:0015911; GO:0016020; GO:0016323; GO:0016491; GO:0030335; GO:0033700; GO:0034040; GO:0034634; GO:0034775; GO:0042493; GO:0042908; GO:0043215; GO:0046618; GO:0046624; GO:0055085; GO:0060326; GO:1901215
CHOYP_HSPA12A.10.27|m.35252	EelgrassCI-EelgrassSK	0.022002808	sp|Q96MM6|HS12B_HUMAN	x	Heat shock 70 kDa protein 12B	Homo sapiens (Human)	0	GO:0005524
CHOYP_DNJA2.2.2|m.51791	BareFB-BareSK	0.038785484	sp|Q2HJ94|DNJA2_BOVIN	x	DnaJ homolog subfamily A member 2	Bos taurus (Bovine)	protein refolding [GO:0042026]; response to heat [GO:0009408]	GO:0005524; GO:0005829; GO:0009408; GO:0016020; GO:0042026; GO:0046872; GO:0070062
CHOYP_LOC101169658.1.3|m.18820	BareCI-BareFB	0.083897976	sp|Q08420|SODE_RAT	x	Extracellular superoxide dismutase [Cu-Zn] (EC-SOD) (EC 1.15.1.1) (Superoxide dismutase B)	Rattus norvegicus (Rat)	response to copper ion [GO:0046688]; response to hypoxia [GO:0001666]; response to oxidative stress [GO:0006979]; response to superoxide [GO:0000303]	GO:0000303; GO:0001666; GO:0004784; GO:0005507; GO:0005615; GO:0005634; GO:0005737; GO:0005802; GO:0006979; GO:0008270; GO:0031012; GO:0046688; GO:0070062
CHOYP_MANL.8.9|m.48353	EelgrassSK-EelgrassWB	0.144537793	sp|P86856|MANL_MYTCA	x	Nacrein-like protein (Fragment)	Mytilus californianus (California mussel)	0	GO:0005576
CHOYP_GPX4-A.1.1|m.257	BareSK-EelgrassSK	0.175565229	sp|Q9N2J2|GPX4_BOVIN	x	Phospholipid hydroperoxide glutathione peroxidase			
