"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage","accession","Code1","Annotation","Code2","Species","BiologicalProcess","GOTerms","Pathway","ProteinCode"
"CHOYP_1433Z.1.1|m.17045","Eelgrass-Bare",0.506301247638788,0.566463409520536,0.893793383878634,16,0.384679898112678,0.942060864972504,NA,0,0,"sp|Q2F637|1433Z_BOMMO","1433Z_BOMMO","14-3-3 protein zeta","14-3-3zeta","Bombyx mori (Silk moth)","0","GO:0005737","0","PF00244;"
"CHOYP_2A5D.2.3|m.32240","Eelgrass-Bare",-0.0754120319926244,0.761728220709498,-0.099001231597253,16,0.922367050108897,0.994769849747695,NA,0,0,"sp|Q14738|2A5D_HUMAN","2A5D_HUMAN","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform (PP2A B subunit isoform B'-delta) (PP2A B subunit isoform B56-delta) (PP2A B subunit isoform PR61-delta) (PP2A B subunit isoform R5-delta)","PPP2R5D","Homo sapiens (Human)","nervous system development [GO:0007399]; signal transduction [GO:0007165]","GO:0000159; GO:0004722; GO:0005634; GO:0005654; GO:0005829; GO:0007165; GO:0007399; GO:0008601","0","PF01603;"
"CHOYP_2AAA.1.1|m.13306","Eelgrass-Bare",-0.365312372604274,0.590917619517347,-0.618212015581217,16,0.545136093861296,0.979591620635068,NA,0,0,"sp|P54612|2AAA_PIG","2AAA_PIG","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)","PPP2R1A","Sus scrofa (Pig)","chromosome segregation [GO:0007059]; female meiotic division [GO:0007143]; meiotic sister chromatid cohesion, centromeric [GO:0051754]; meiotic spindle elongation [GO:0051232]; mitotic sister chromatid separation [GO:0051306]; peptidyl-serine dephosphorylation [GO:0070262]; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001241]; protein complex assembly [GO:0006461]; regulation of meiotic cell cycle process involved in oocyte maturation [GO:1903538]","GO:0000159; GO:0000775; GO:0003823; GO:0004722; GO:0005829; GO:0006461; GO:0007059; GO:0007143; GO:0008601; GO:0051232; GO:0051306; GO:0051754; GO:0070062; GO:0070262; GO:1903538; GO:2001241","0","PF02985;"
"CHOYP_3BP2.2.3|m.19302","Eelgrass-Bare",-1.25146124800777,1.04272107704405,-1.20018792710652,15,0.24867896599132,0.872936622060819,NA,0.05,0,"sp|Q06649|3BP2_MOUSE","3BP2_MOUSE","SH3 domain-binding protein 2 (3BP-2)","Sh3bp2 3bp2","Mus musculus (Mouse)","0","GO:0017124","0","PF00169;PF00017;"
"CHOYP_4EBP1.1.1|m.12045","Eelgrass-Bare",0.327584019045747,0.335208318295263,0.977255041616239,16,0.342988498286173,0.922243675335549,NA,0,0,"sp|Q13541|4EBP1_HUMAN","4EBP1_HUMAN","Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I)","EIF4EBP1","Homo sapiens (Human)","cellular response to hypoxia [GO:0071456]; G1/S transition of mitotic cell cycle [GO:0000082]; insulin receptor signaling pathway [GO:0008286]; IRES-dependent translational initiation [GO:0002192]; lung development [GO:0030324]; negative regulation of protein complex assembly [GO:0031333]; negative regulation of translational initiation [GO:0045947]; positive regulation of mitotic cell cycle [GO:0045931]; response to ethanol [GO:0045471]; response to ischemia [GO:0002931]; TOR signaling [GO:0031929]","GO:0000082; GO:0002192; GO:0002931; GO:0005654; GO:0005737; GO:0005829; GO:0008190; GO:0008286; GO:0030324; GO:0030371; GO:0031333; GO:0031929; GO:0043234; GO:0045471; GO:0045931; GO:0045947; GO:0071456","0","PF05456;"
"CHOYP_A4.3.3|m.22262","Eelgrass-Bare",0.228238247363851,0.850083155356289,0.268489318869271,16,0.79175368733295,0.994769849747695,NA,0.05,0.05,"sp|Q8CH02|SUGP1_MOUSE","SUGP1_MOUSE","SURP and G-patch domain-containing protein 1 (Splicing factor 4)","Sugp1 Sf4","Mus musculus (Mouse)","mRNA processing [GO:0006397]; RNA splicing [GO:0008380]","GO:0005681; GO:0006397; GO:0008380; GO:0044822","0","PF01585;PF01805;"
"CHOYP_AACS.1.1|m.66267","Eelgrass-Bare",0.622861475232176,0.458419119864106,1.35871617967596,16,0.193084387276426,0.86344556610781,NA,0.0125,0.0125,"sp|Q28BL6|AACS_XENTR","AACS_XENTR","Acetoacetyl-CoA synthetase (EC 6.2.1.16)","aacs TEgg036g05.1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)","fatty acid metabolic process [GO:0006631]","GO:0005524; GO:0005829; GO:0006631; GO:0030729","0","PF16177;PF00501;"
"CHOYP_AADAT.1.1|m.12672","Eelgrass-Bare",1.80096290968065,0.938003478451857,1.91999598194782,16,0.0728681083046026,0.823126197549099,NA,0.05,0.05,"sp|Q8N5Z0|AADAT_HUMAN","AADAT_HUMAN","Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (KAT/AadAT) (2-aminoadipate aminotransferase) (2-aminoadipate transaminase) (EC 2.6.1.39) (Alpha-aminoadipate aminotransferase) (AadAT) (Kynurenine aminotransferase II) (Kynurenine--oxoglutarate aminotransferase II) (Kynurenine--oxoglutarate transaminase 2) (EC 2.6.1.7) (Kynurenine--oxoglutarate transaminase II)","AADAT KAT2","Homo sapiens (Human)","2-oxoglutarate metabolic process [GO:0006103]; biosynthetic process [GO:0009058]; glutamate metabolic process [GO:0006536]; kynurenine metabolic process [GO:0070189]; L-lysine catabolic process to acetyl-CoA via saccharopine [GO:0033512]; lysine catabolic process [GO:0006554]; tryptophan catabolic process [GO:0006569]; tryptophan catabolic process to kynurenine [GO:0019441]","GO:0005759; GO:0006103; GO:0006536; GO:0006554; GO:0006569; GO:0009058; GO:0016212; GO:0019441; GO:0030170; GO:0033512; GO:0042803; GO:0047536; GO:0070189","PATHWAY: Amino-acid degradation; L-lysine degradation via saccharopine pathway; glutaryl-CoA from L-lysine: step 4/6.","PF00155;"
"CHOYP_AAEL_AAEL001979.1.1|m.58086","Eelgrass-Bare",0.620076559337846,1.40862539935582,0.440199757594471,16,0.665681213025358,0.986611158786544,NA,0,0,"sp|Q9WVE8|PACN2_MOUSE","PACN2_MOUSE","Protein kinase C and casein kinase substrate in neurons protein 2 (Syndapin-2) (Syndapin-II)","Pacsin2","Mus musculus (Mouse)","actin cytoskeleton organization [GO:0030036]; caveola assembly [GO:0070836]; caveolin-mediated endocytosis [GO:0072584]; cell projection morphogenesis [GO:0048858]; membrane tubulation [GO:0097320]; negative regulation of endocytosis [GO:0045806]; protein localization to endosome [GO:0036010]; signal transduction [GO:0007165]","GO:0005654; GO:0005737; GO:0005768; GO:0005769; GO:0005829; GO:0005856; GO:0005901; GO:0005911; GO:0005925; GO:0007165; GO:0008092; GO:0008289; GO:0019898; GO:0030036; GO:0030659; GO:0032587; GO:0036010; GO:0042802; GO:0043231; GO:0045806; GO:0048858; GO:0055038; GO:0070062; GO:0070300; GO:0070836; GO:0072584; GO:0097320","0","PF00611;PF00018;"
"CHOYP_AAEL_AAEL005197.1.1|m.59507","Eelgrass-Bare",-0.495217964172571,0.576188115027526,-0.859472716039817,16,0.402773863642721,0.942060864972504,NA,0,0,"sp|Q9HB90|RRAGC_HUMAN","RRAGC_HUMAN","Ras-related GTP-binding protein C (Rag C) (RagC) (GTPase-interacting protein 2) (TIB929)","RRAGC","Homo sapiens (Human)","apoptotic process [GO:0006915]; cell cycle arrest [GO:0007050]; cell growth [GO:0016049]; cellular protein localization [GO:0034613]; cellular response to amino acid starvation [GO:0034198]; cellular response to amino acid stimulus [GO:0071230]; macroautophagy [GO:0016236]; positive regulation of TOR signaling [GO:0032008]; regulation of autophagy [GO:0010506]; regulation of TORC1 signaling [GO:1903432]; regulation of TOR signaling [GO:0032006]; response to amino acid [GO:0043200]; RNA splicing [GO:0008380]; small GTPase mediated signal transduction [GO:0007264]; transcription, DNA-templated [GO:0006351]","GO:0000287; GO:0003924; GO:0005525; GO:0005634; GO:0005737; GO:0005764; GO:0005829; GO:0006351; GO:0006915; GO:0007050; GO:0007264; GO:0008380; GO:0010506; GO:0016049; GO:0016236; GO:0019003; GO:0032006; GO:0032008; GO:0034198; GO:0034448; GO:0034613; GO:0043200; GO:0043231; GO:0046982; GO:0071230; GO:1903432; GO:1990131","0","PF04670;"
"CHOYP_AAEL_AAEL008069.1.2|m.58164","Eelgrass-Bare",0.0303274945036378,1.24962623467184,0.0242692524069823,16,0.980937945323512,0.99983025867803,NA,0.025,0.025,"sp|P0C6B8|SVEP1_RAT","SVEP1_RAT","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","Svep1","Rattus norvegicus (Rat)","cell adhesion [GO:0007155]","GO:0005509; GO:0005576; GO:0005737; GO:0007155; GO:0016020","0","PF00008;PF07645;PF07699;PF02494;PF00354;PF00084;PF00092;"
