Protein,Label,adj.pvalue,accession,interesting,Annotation.x,Species.x,BiologicalProcess.x,GOTerms,C1,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,Evalue,C14,C15,reviewed,Annotation.y,C18,Species.y,C20,BiologicalProcess.y,GOTerm,Pathway,C24,C25,C26
CHOYP_LOC100150876.1.1|m.61100,EelgrassFB-EelgrassSK,0.001227546,sp|Q96NN9|AIFM3_HUMAN,x,Apoptosis-inducing factor 3 (EC 1.-.-.-) (Apoptosis-inducing factor-like protein),Homo sapiens (Human),cell redox homeostasis [GO:0045454]; execution phase of apoptosis [GO:0097194],GO:0005739; GO:0005743; GO:0005783; GO:0016491; GO:0045454; GO:0046872; GO:0050660; GO:0051537; GO:0097194,Q96NN9,sp,AIFM3_HUMAN,46.024,591,301,3,227,812,9,586,0,574,AIFM3_HUMAN,reviewed,Apoptosis-inducing factor 3 (EC 1.-.-.-) (Apoptosis-inducing factor-like protein),AIFM3 AIFL,Homo sapiens (Human),605,cell redox homeostasis [GO:0045454]; execution phase of apoptosis [GO:0097194],GO:0005739; GO:0005743; GO:0005783; GO:0016491; GO:0045454; GO:0046872; GO:0050660; GO:0051537; GO:0097194,0,0,0,PF07992;PF14759;PF00355;
CHOYP_BRAFLDRAFT_119799.1.1|m.23765,BareFB-BareSK,0.005291969,sp|P30044|PRDX5_HUMAN,x,"Peroxiredoxin-5, mitochondrial (EC 1.11.1.15) (Alu corepressor 1) (Antioxidant enzyme B166) (AOEB166) (Liver tissue 2D-page spot 71B) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (TPx type VI) (Thioredoxin peroxidase PMP20) (Thioredoxin reductase)",Homo sapiens (Human),cell redox homeostasis [GO:0045454]; cellular response to reactive oxygen species [GO:0034614]; hydrogen peroxide catabolic process [GO:0042744]; inflammatory response [GO:0006954]; NADPH oxidation [GO:0070995]; negative regulation of apoptotic process [GO:0043066]; negative regulation of oxidoreductase activity [GO:0051354]; negative regulation of transcription from RNA polymerase III promoter [GO:0016480]; positive regulation of collagen biosynthetic process [GO:0032967]; reactive nitrogen species metabolic process [GO:2001057]; regulation of apoptosis involved in tissue homeostasis [GO:0060785]; response to oxidative stress [GO:0006979]; response to reactive oxygen species [GO:0000302],GO:0000302; GO:0001016; GO:0004601; GO:0005102; GO:0005615; GO:0005634; GO:0005737; GO:0005739; GO:0005759; GO:0005777; GO:0005782; GO:0005829; GO:0006954; GO:0006979; GO:0008379; GO:0016209; GO:0016480; GO:0031410; GO:0032967; GO:0034614; GO:0042744; GO:0043027; GO:0043066; GO:0043231; GO:0045454; GO:0046983; GO:0048471; GO:0051354; GO:0051920; GO:0060785; GO:0070062; GO:0070995; GO:0072541; GO:2001057,P30044,sp,PRDX5_HUMAN,59.524,168,66,1,18,183,43,210,7.18E-69,190,CAHZ_DANRE,reviewed,Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase),cahz cah-z,Danio rerio (Zebrafish) (Brachydanio rerio),260,carbon dioxide transport [GO:0015670]; hypotonic salinity response [GO:0042539]; one-carbon metabolic process [GO:0006730],GO:0004089; GO:0006730; GO:0008270; GO:0015670; GO:0042539,0,0,0,PF00194;
CHOYP_BRAFLDRAFT_91636.1.11|m.28449,BareCI-BareSK,0.006983249,sp|Q53G44|IF44L_HUMAN,x,Interferon-induced protein 44-like,Homo sapiens (Human),defense response to virus [GO:0051607],GO:0005525; GO:0005654; GO:0005737; GO:0051607,Q53G44,sp,IF44L_HUMAN,40.678,295,164,5,198,488,146,433,3.04E-60,211,PRDX5_HUMAN,reviewed,"Peroxiredoxin-5, mitochondrial (EC 1.11.1.15) (Alu corepressor 1) (Antioxidant enzyme B166) (AOEB166) (Liver tissue 2D-page spot 71B) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (TPx type VI) (Thioredoxin peroxidase PMP20) (Thioredoxin reductase)",PRDX5 ACR1 SBBI10,Homo sapiens (Human),214,cell redox homeostasis [GO:0045454]; cellular response to reactive oxygen species [GO:0034614]; hydrogen peroxide catabolic process [GO:0042744]; inflammatory response [GO:0006954]; NADPH oxidation [GO:0070995]; negative regulation of apoptotic process [GO:0043066]; negative regulation of oxidoreductase activity [GO:0051354]; negative regulation of transcription from RNA polymerase III promoter [GO:0016480]; positive regulation of collagen biosynthetic process [GO:0032967]; reactive nitrogen species metabolic process [GO:2001057]; regulation of apoptosis involved in tissue homeostasis [GO:0060785]; response to oxidative stress [GO:0006979]; response to reactive oxygen species [GO:0000302],GO:0000302; GO:0001016; GO:0004601; GO:0005102; GO:0005615; GO:0005634; GO:0005737; GO:0005739; GO:0005759; GO:0005777; GO:0005782; GO:0005829; GO:0006954; GO:0006979; GO:0008379; GO:0016209; GO:0016480; GO:0031410; GO:0032967; GO:0034614; GO:0042744; GO:0043027; GO:0043066; GO:0043231; GO:0045454; GO:0046983; GO:0048471; GO:0051354; GO:0051920; GO:0060785; GO:0070062; GO:0070995; GO:0072541; GO:2001057,0,0,0,PF08534;
CHOYP_CAT.1.1|m.57038,EelgrassFB-EelgrassWB,0.305282695,sp|P00432|CATA_BOVIN,x,Catalase (EC 1.11.1.6),Bos taurus (Bovine),aerobic respiration [GO:0009060]; cholesterol metabolic process [GO:0008203]; hemoglobin metabolic process [GO:0020027]; hydrogen peroxide catabolic process [GO:0042744]; negative regulation of apoptotic process [GO:0043066]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; osteoblast differentiation [GO:0001649]; oxidation-reduction process [GO:0055114]; positive regulation of cell division [GO:0051781]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; protein homotetramerization [GO:0051289]; response to hydrogen peroxide [GO:0042542]; triglyceride metabolic process [GO:0006641]; UV protection [GO:0009650],GO:0001649; GO:0004046; GO:0004096; GO:0005739; GO:0005777; GO:0005778; GO:0005925; GO:0006641; GO:0008203; GO:0009060; GO:0009650; GO:0014068; GO:0019899; GO:0020027; GO:0020037; GO:0032088; GO:0042542; GO:0042744; GO:0043066; GO:0046872; GO:0050661; GO:0051092; GO:0051289; GO:0051781; GO:0055114; GO:0070062,P00432,sp,CATA_BOVIN,68.8,500,154,1,4,501,5,504,0,207,IF44L_HUMAN,reviewed,Interferon-induced protein 44-like,IFI44L C1orf29 GS3686,Homo sapiens (Human),452,defense response to virus [GO:0051607],GO:0005525; GO:0005654; GO:0005737; GO:0051607,0,0,0,PF01926;
CHOYP_CATA.2.3|m.18454,BarePG-BareWB,0.347248083,sp|P04040|CATA_HUMAN,x,Catalase (EC 1.11.1.6),Homo sapiens (Human),aerobic respiration [GO:0009060]; aging [GO:0007568]; cellular response to growth factor stimulus [GO:0071363]; cholesterol metabolic process [GO:0008203]; hemoglobin metabolic process [GO:0020027]; hydrogen peroxide catabolic process [GO:0042744]; negative regulation of apoptotic process [GO:0043066]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; osteoblast differentiation [GO:0001649]; positive regulation of cell division [GO:0051781]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; protein homotetramerization [GO:0051289]; protein tetramerization [GO:0051262]; purine nucleotide catabolic process [GO:0006195]; response to activity [GO:0014823]; response to cadmium ion [GO:0046686]; response to drug [GO:0042493]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to fatty acid [GO:0070542]; response to hydrogen peroxide [GO:0042542]; response to hyperoxia [GO:0055093]; response to hypoxia [GO:0001666]; response to inactivity [GO:0014854]; response to insulin [GO:0032868]; response to L-ascorbic acid [GO:0033591]; response to lead ion [GO:0010288]; response to light intensity [GO:0009642]; response to ozone [GO:0010193]; response to phenylpropanoid [GO:0080184]; response to reactive oxygen species [GO:0000302]; response to vitamin A [GO:0033189]; response to vitamin E [GO:0033197]; triglyceride metabolic process [GO:0006641]; ureteric bud development [GO:0001657]; UV protection [GO:0009650],GO:0000302; GO:0001649; GO:0001657; GO:0001666; GO:0004046; GO:0004096; GO:0005102; GO:0005615; GO:0005739; GO:0005758; GO:0005764; GO:0005777; GO:0005778; GO:0005782; GO:0005783; GO:0005794; GO:0005829; GO:0005886; GO:0005925; GO:0006195; GO:0006641; GO:0007568; GO:0008203; GO:0009060; GO:0009642; GO:0009650; GO:0010193; GO:0010288; GO:0014068; GO:0014823; GO:0014854; GO:0016020; GO:0016209; GO:0016684; GO:0019899; GO:0020027; GO:0020037; GO:0032088; GO:0032355; GO:0032868; GO:0033189; GO:0033197; GO:0033591; GO:0042493; GO:0042542; GO:0042744; GO:0042803; GO:0043066; GO:0043231; GO:0045471; GO:0046686; GO:0046872; GO:0050661; GO:0051092; GO:0051262; GO:0051289; GO:0051781; GO:0055093; GO:0070062; GO:0070542; GO:0071363; GO:0080184,P04040,sp,CATA_HUMAN,75.811,339,80,1,3,339,4,342,0,1486,MRP1_RAT,reviewed,Multidrug resistance-associated protein 1 (ATP-binding cassette sub-family C member 1) (Leukotriene C(4) transporter) (LTC4 transporter),Abcc1 Mrp1,Rattus norvegicus (Rat),1532,cell chemotaxis [GO:0060326]; daunorubicin transport [GO:0043215]; drug export [GO:0046618]; drug transmembrane transport [GO:0006855]; glutathione transmembrane transport [GO:0034775]; negative regulation of neuron death [GO:1901215]; phospholipid efflux [GO:0033700]; plasma membrane long-chain fatty acid transport [GO:0015911]; positive regulation of cell migration [GO:0030335]; response to drug [GO:0042493]; response to oxidative stress [GO:0006979]; transmembrane transport [GO:0055085]; xenobiotic transport [GO:0042908],GO:0005324; GO:0005524; GO:0005737; GO:0005886; GO:0005887; GO:0006855; GO:0006979; GO:0008559; GO:0015238; GO:0015431; GO:0015562; GO:0015911; GO:0016020; GO:0016323; GO:0016491; GO:0030335; GO:0033700; GO:0034040; GO:0034634; GO:0034775; GO:0042493; GO:0042908; GO:0043215; GO:0046618; GO:0046624; GO:0055085; GO:0060326; GO:1901215,0,0,0,PF00664;PF00005;
CHOYP_DNJA2.2.2|m.51791,BareFB-BareSK,0.038785484,sp|Q2HJ94|DNJA2_BOVIN,x,DnaJ homolog subfamily A member 2,Bos taurus (Bovine),protein refolding [GO:0042026]; response to heat [GO:0009408],GO:0005524; GO:0005829; GO:0009408; GO:0016020; GO:0042026; GO:0046872; GO:0070062,Q2HJ94,sp,DNJA2_BOVIN,63.876,418,142,4,26,440,1,412,1.86E-177,333,HS12B_HUMAN,reviewed,Heat shock 70 kDa protein 12B,HSPA12B C20orf60,Homo sapiens (Human),686,0,GO:0005524,0,0,0,0
CHOYP_G6PD.2.2|m.46923,BareSK-EelgrassSK,0.440328686,sp|P05370|G6PD_RAT,x,Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49),Rattus norvegicus (Rat),"cellular response to oxidative stress [GO:0034599]; cholesterol biosynthetic process [GO:0006695]; erythrocyte maturation [GO:0043249]; glucose 6-phosphate metabolic process [GO:0051156]; glucose metabolic process [GO:0006006]; glutathione metabolic process [GO:0006749]; NADPH regeneration [GO:0006740]; NADP metabolic process [GO:0006739]; negative regulation of cell growth involved in cardiac muscle cell development [GO:0061052]; negative regulation of protein glutathionylation [GO:0010734]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; pentose biosynthetic process [GO:0019322]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt, oxidative branch [GO:0009051]; positive regulation of calcium ion transmembrane transport via high voltage-gated calcium channel [GO:1904879]; regulation of neuron apoptotic process [GO:0043523]; response to ethanol [GO:0045471]; response to food [GO:0032094]; response to iron(III) ion [GO:0010041]; response to organic cyclic compound [GO:0014070]; ribose phosphate biosynthetic process [GO:0046390]; substantia nigra development [GO:0021762]",GO:0004345; GO:0005536; GO:0005634; GO:0005813; GO:0005829; GO:0006006; GO:0006098; GO:0006695; GO:0006739; GO:0006740; GO:0006749; GO:0009051; GO:0009898; GO:0010041; GO:0010734; GO:0014070; GO:0019322; GO:0021762; GO:0030246; GO:0032094; GO:0034599; GO:0043231; GO:0043249; GO:0043523; GO:0045471; GO:0046390; GO:0050661; GO:0051156; GO:0061052; GO:0070062; GO:1904879; GO:2000378,P05370,sp,G6PD_RAT,68.836,507,148,5,43,542,9,512,0,504,DNJA2_BOVIN,reviewed,DnaJ homolog subfamily A member 2,DNAJA2,Bos taurus (Bovine),412,protein refolding [GO:0042026]; response to heat [GO:0009408],GO:0005524; GO:0005829; GO:0009408; GO:0016020; GO:0042026; GO:0046872; GO:0070062,0,0,cd06257;,PF00226;PF01556;PF00684;
CHOYP_GPX4-A.1.1|m.257,BareSK-EelgrassSK,0.175565229,sp|Q9N2J2|GPX4_BOVIN,x,"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial (PHGPx) (EC 1.11.1.12) (Glutathione peroxidase 4) (GPx-4) (GSHPx-4)",Bos taurus (Bovine),multicellular organism development [GO:0007275]; response to oxidative stress [GO:0006979],GO:0004602; GO:0005739; GO:0006979; GO:0007275; GO:0047066,Q9N2J2,sp,GPX4_BOVIN,48.936,47,24,0,76,122,26,72,3.17E-10,59.3,SODE_RAT,reviewed,Extracellular superoxide dismutase [Cu-Zn] (EC-SOD) (EC 1.15.1.1) (Superoxide dismutase B),Sod3 Sod-3,Rattus norvegicus (Rat),244,response to copper ion [GO:0046688]; response to hypoxia [GO:0001666]; response to oxidative stress [GO:0006979]; response to superoxide [GO:0000303],GO:0000303; GO:0001666; GO:0004784; GO:0005507; GO:0005615; GO:0005634; GO:0005737; GO:0005802; GO:0006979; GO:0008270; GO:0031012; GO:0046688; GO:0070062,0,0,cd00305;,PF00080;
CHOYP_HSPA12A.10.27|m.35252,EelgrassCI-EelgrassSK,0.022002808,sp|Q96MM6|HS12B_HUMAN,x,Heat shock 70 kDa protein 12B,Homo sapiens (Human),0,GO:0005524,Q96MM6,sp,HS12B_HUMAN,32.334,634,353,14,17,583,62,686,2.11E-104,220,MANL_MYTCA,reviewed,Nacrein-like protein (Fragment),0,Mytilus californianus (California mussel),321,0,GO:0005576,0,0,0,PF00194;
CHOYP_HSPA12A.19.27|m.54978,EelgrassCI-EelgrassFB,0.517159886,sp|Q8K0U4|HS12A_MOUSE,x,Heat shock 70 kDa protein 12A,Mus musculus (Mouse),0,GO:0005524; GO:0070062,Q8K0U4,sp,HS12A_MOUSE,33,300,191,7,5,299,379,673,2.73E-42,58.2,GPX4_BOVIN,reviewed,"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial (PHGPx) (EC 1.11.1.12) (Glutathione peroxidase 4) (GPx-4) (GSHPx-4)",GPX4,Bos taurus (Bovine),197,multicellular organism development [GO:0007275]; response to oxidative stress [GO:0006979],GO:0004602; GO:0005739; GO:0006979; GO:0007275; GO:0047066,0,0,cd00340;,PF00255;
CHOYP_HYOU1.2.3|m.12568,EelgrassCI-EelgrassWB,0.199883868,sp|Q7ZUW2|HYOU1_DANRE,x,Hypoxia up-regulated protein 1,Danio rerio (Zebrafish) (Brachydanio rerio),0,GO:0005524; GO:0005788,Q7ZUW2,sp,HYOU1_DANRE,47.181,1011,472,15,9,1000,7,974,0,199,GIGA3_CRAGI,reviewed,Gigasin-3a (Fragment),0,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),284,0,0,0,0,0,0
