Protein Name	Coefficient of Variation
ATP-binding cassette sub-family A member 1 (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1)	1.253314851
"Apoptosis-inducing factor 1, mitochondrial (EC 1.1.1.-) (Programmed cell death protein 8)"	0.921483289
"Peroxiredoxin-5, mitochondrial (EC 1.11.1.15) (Alu corepressor 1) (Antioxidant enzyme B166) (AOEB166) (Liver tissue 2D-page spot 71B) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (TPx type VI) (Thioredoxin peroxidase PMP20) (Thioredoxin reductase)"	0.989366319
Metabotropic glutamate receptor 7 (mGluR7)	2.674513807
Catalase (EC 1.11.1.6)	0.458616818
Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	1.196391219
"DnaJ homolog subfamily C member 3 (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)"	1.069669022
Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	1.168746732
Heat shock protein beta-1 (HspB1) (Heat shock 27 kDa protein) (HSP 27)	1.303305422
Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	1.140978726
Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1)	0.857598721
Peroxidasin (EC 1.11.1.7)	0.929128752
Heat shock 70 kDa protein 4L (Heat shock 70-related protein APG-1) (Osmotic stress protein 94)	0.800052181
Heat shock protein 83 (HSP 82)	1.286826464
Heat shock protein HSP 90-alpha 1	1.28808981
Hypoxia up-regulated protein 1 (150 kDa oxygen-regulated protein) (ORP-150) (170 kDa glucose-regulated protein) (GRP-170)	1.869121031
Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	1.361991698
Peroxiredoxin (EC 1.11.1.15) (AsPrx) (Thioredoxin peroxidase)	0.705391595
Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X)	1.452370643
Histone deacetylase 4 (HD4) (EC 3.5.1.98)	1.810861403
Insulin-like growth factor 2 mRNA-binding protein 1 (IGF2 mRNA-binding protein 1) (IMP-1) (IGF-II mRNA-binding protein 1) (VICKZ family member 1) (Zip-code binding polypeptide) (Zipcode-binding protein 1) (ZBP-1)	0.643417737
Universal stress protein YxiE (USP YxiE)	1.922524858
Universal stress protein Sll1388 (USP Sll1388)	1.402272923
Putative universal stress protein SAOUHSC_01819	2.049485734
Universal stress protein MSMEG_3950/MSMEI_3859 (USP MSMEG_3950)	2.696616574
Universal stress protein in QAH/OAS sulfhydrylase 3'region (USP)	1.857172894
Putative universal stress protein SAOUHSC_01819	2.049485734
Universal stress protein A-like protein	1.024429849
Stress response protein NhaX	0.903562525
Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	1.051346873
Cytochrome P450 1A1 (EC 1.14.14.1) (CYPIA1) (Cytochrome P450-P1)	1.476627112
DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (HSDJ) (Heat shock 40 kDa protein 4) (Heat shock protein J2) (HSJ-2) (Human DnaJ protein 2) (hDj-2)	1.445522413
Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	0.984186386
Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	1.816442791
Multidrug resistance-associated protein 1 (ATP-binding cassette sub-family C member 1) (Leukotriene C(4) transporter) (LTC4 transporter)	0.898224035
Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	1.758080064
Heat shock protein HSP 90-beta	1.227667935
Heat shock protein beta-1 (HspB1) (Heat shock 27 kDa protein) (HSP 27)	1.303305422
"Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)"	1.206078094
Stress-induced-phosphoprotein 1 (STI1) (Hsc70/Hsp90-organizing protein) (Hop) (Renal carcinoma antigen NY-REN-11) (Transformation-sensitive protein IEF SSP 3521)	1.90652305
"Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)"	0.990699714
Universal stress protein in QAH/OAS sulfhydrylase 3'region (USP)	1.555452384
Extracellular superoxide dismutase [Cu-Zn] (EC-SOD) (EC 1.15.1.1) (Superoxide dismutase B)	0.566196417
