,chr,DMLCount,geneCount,chrCpGCounts,DMLbyChrCpG
1,NC_047559.1,13,3422,1137715,1.14264117111931e-05
2,NC_047560.1,16,3521,1586202,1.00869876598315e-05
3,NC_047561.1,21,3790,1152779,1.82168481556309e-05
4,NC_047562.1,11,3115,1080842,1.01772506989921e-05
5,NC_047563.1,12,3909,1539451,7.79498665433327e-06
6,NC_047564.1,15,4117,1188024,1.26260075554029e-05
7,NC_047565.1,18,4087,1215355,1.4810487470739e-05
8,NC_047566.1,20,3603,1223148,1.63512510342166e-05
9,NC_047567.1,27,1826,782930,3.44858416461242e-05
10,NC_047568.1,17,3701,1113870,1.52621041952831e-05
11,NW_022994785.1,1,6,2220,0.00045045045045045
12,NW_022994816.1,1,43,21847,4.57728749942784e-05
13,NW_022994820.1,2,31,14199,0.000140854989788013
14,NW_022994822.1,1,17,13993,7.14643035803616e-05
15,NW_022994850.1,1,29,16844,5.93683210638803e-05
16,NW_022994855.1,1,7,5411,0.000184808722971724
17,NW_022994904.1,1,6,3098,0.000322788896061975
