,chr,DMLCount,geneCount,chrCpGCounts,DMLbyChrCpG
1,NC_047559.1,4,3422,1137715,3.5158189880594e-06
2,NC_047560.1,4,3521,1586202,2.52174691495787e-06
3,NC_047561.1,1,3790,1152779,8.67468959791946e-07
4,NC_047562.1,1,3115,1080842,9.2520460899928e-07
5,NC_047563.1,5,3909,1539451,3.24791110597219e-06
6,NC_047564.1,1,4117,1188024,8.41733837026861e-07
7,NC_047565.1,4,4087,1215355,3.291219437942e-06
8,NC_047566.1,3,3603,1223148,2.45268765513249e-06
9,NC_047567.1,26,1826,782930,3.32085882518233e-05
10,NC_047568.1,3,3701,1113870,2.69331250504996e-06
11,NW_022994855.1,1,7,5411,0.000184808722971724
